participant_id,session_timestamp,game,round_timestamp,latency_ms,has_qoe,has_kb,has_mouse,has_score_png,has_dump,has_score_txt,has_results,has_replay,has_replay_json,round_path,missing_qoe,missing_kb,missing_mouse,ff_missing_score_png,ff_missing_score_txt,hl2_missing_dump,hl2_missing_score_txt,fitts_missing_results,rl_missing_replay,rl_missing_replay_json,score_txt_without_png,replay_json_without_replay,hl2_score_without_dump
13,2026-01-29_14-08-21,half_life_2,2026-01-29_14-19-33,225,True,True,True,,True,True,,,,../experiment/13/2026-01-29_14-08-21/half_life_2/2026-01-29_14-19-33_225ms,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2026-01-29_14-08-21,fitts_law,2026-01-29_14-21-45,75,True,True,True,,,,True,,,../experiment/13/2026-01-29_14-08-21/fitts_law/2026-01-29_14-21-45_75ms,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2026-01-29_14-08-21,fitts_law,2026-01-29_14-22-27,150,True,True,True,,,,True,,,../experiment/13/2026-01-29_14-08-21/fitts_law/2026-01-29_14-22-27_150ms,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2026-01-29_14-08-21,fitts_law,2026-01-29_14-23-09,225,True,True,True,,,,True,,,../experiment/13/2026-01-29_14-08-21/fitts_law/2026-01-29_14-23-09_225ms,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2026-01-29_14-08-21,fitts_law,2026-01-29_14-21-01,0,True,True,True,,,,True,,,../experiment/13/2026-01-29_14-08-21/fitts_law/2026-01-29_14-21-01_0ms,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2026-01-29_14-08-21,feeding_frenzy,2026-01-29_14-28-03,225,True,True,True,True,,True,,,,../experiment/13/2026-01-29_14-08-21/feeding_frenzy/2026-01-29_14-28-03_225ms,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2026-01-29_14-08-21,feeding_frenzy,2026-01-29_14-27-13,150,True,True,True,True,,True,,,,../experiment/13/2026-01-29_14-08-21/feeding_frenzy/2026-01-29_14-27-13_150ms,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2026-01-29_14-08-21,feeding_frenzy,2026-01-29_14-26-18,75,True,True,True,True,,True,,,,../experiment/13/2026-01-29_14-08-21/feeding_frenzy/2026-01-29_14-26-18_75ms,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2026-01-29_14-08-21,feeding_frenzy,2026-01-29_14-25-20,0,True,True,True,True,,True,,,,../experiment/13/2026-01-29_14-08-21/feeding_frenzy/2026-01-29_14-25-20_0ms,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-01-29_16-35-33,dave_the_diver,2026-01-29_16-39-10,150,True,True,True,True,,True,,,,../experiment/14/2026-01-29_16-35-33/dave_the_diver/2026-01-29_16-39-10_150ms,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-01-29_16-35-33,dave_the_diver,2026-01-29_16-40-39,225,True,True,True,True,,True,,,,../experiment/14/2026-01-29_16-35-33/dave_the_diver/2026-01-29_16-40-39_225ms,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-01-29_16-35-33,dave_the_diver,2026-01-29_16-37-42,75,True,True,True,True,,True,,,,../experiment/14/2026-01-29_16-35-33/dave_the_diver/2026-01-29_16-37-42_75ms,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-01-29_16-35-33,dave_the_diver,2026-01-29_16-42-08,0,True,True,True,True,,True,,,,../experiment/14/2026-01-29_16-35-33/dave_the_diver/2026-01-29_16-42-08_0ms,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-01-29_16-35-33,rocket_league,2026-01-29_17-01-27,225,True,True,True,,,,,True,True,../experiment/14/2026-01-29_16-35-33/rocket_league/2026-01-29_17-01-27_225ms,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-01-29_16-35-33,rocket_league,2026-01-29_16-59-32,150,True,True,True,,,,,True,True,../experiment/14/2026-01-29_16-35-33/rocket_league/2026-01-29_16-59-32_150ms,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-01-29_16-35-33,rocket_league,2026-01-29_16-57-36,75,True,True,True,,,,,True,True,../experiment/14/2026-01-29_16-35-33/rocket_league/2026-01-29_16-57-36_75ms,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-01-29_16-35-33,rocket_league,2026-01-29_17-03-23,0,True,True,True,,,,,True,True,../experiment/14/2026-01-29_16-35-33/rocket_league/2026-01-29_17-03-23_0ms,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-01-29_16-35-33,half_life_2,2026-01-29_16-44-44,75,True,True,True,,True,True,,,,../experiment/14/2026-01-29_16-35-33/half_life_2/2026-01-29_16-44-44_75ms,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-01-29_16-35-33,half_life_2,2026-01-29_16-45-58,225,True,True,True,,True,True,,,,../experiment/14/2026-01-29_16-35-33/half_life_2/2026-01-29_16-45-58_225ms,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-01-29_16-35-33,half_life_2,2026-01-29_16-45-21,150,True,True,True,,True,True,,,,../experiment/14/2026-01-29_16-35-33/half_life_2/2026-01-29_16-45-21_150ms,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-01-29_16-35-33,half_life_2,2026-01-29_16-46-36,0,True,True,True,,True,True,,,,../experiment/14/2026-01-29_16-35-33/half_life_2/2026-01-29_16-46-36_0ms,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-01-29_16-35-33,fitts_law,2026-01-29_16-50-08,0,True,True,True,,,,True,,,../experiment/14/2026-01-29_16-35-33/fitts_law/2026-01-29_16-50-08_0ms,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-01-29_16-35-33,fitts_law,2026-01-29_16-48-00,75,True,True,True,,,,True,,,../experiment/14/2026-01-29_16-35-33/fitts_law/2026-01-29_16-48-00_75ms,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-01-29_16-35-33,fitts_law,2026-01-29_16-48-46,150,True,True,True,,,,True,,,../experiment/14/2026-01-29_16-35-33/fitts_law/2026-01-29_16-48-46_150ms,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-01-29_16-35-33,fitts_law,2026-01-29_16-49-27,225,True,True,True,,,,True,,,../experiment/14/2026-01-29_16-35-33/fitts_law/2026-01-29_16-49-27_225ms,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-01-29_16-35-33,feeding_frenzy,2026-01-29_16-54-32,0,True,True,True,True,,True,,,,../experiment/14/2026-01-29_16-35-33/feeding_frenzy/2026-01-29_16-54-32_0ms,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2026-01-29_16-35-33,feeding_frenzy,2026-01-29_16-51-58,75,True,True,True,True,,True,,,,../experiment/14/2026-01-29_16-35-33/feeding_frenzy/2026-01-29_16-51-58_75ms,False,False,False,False,False,False,False,False,False,False,False,False,False
